"","superkey","policy1","policy2","policy3","policy4","policy5","key2","Population","percent_male","percent_female","under_18","18-24","25-44","45-64","over_65","Mean_income","Unemployment_rate","County Code","County","Crude_rate","outcome"
"37","FL2014",0,0,0,0,1,"2014-12113",162669,0.511474220656671,0.488525779343329,0.226066429374988,0.084410674437047,0.265047427598375,0.279272633384357,0.145202835205233,73525,5.5,12113,"Santa Rosa County",0.0734295260124096,0
"38","FL2014",0,0,0,0,1,"2014-12009",555598,0.488957843620747,0.511042156379253,0.18734408691176,0.0786809887724578,0.209579588119468,0.299520516632529,0.224874819563785,64613,7,12009,"Brevard County",0.0466882749580254,0
"39","FL2014",0,0,0,0,1,"2014-12095",1256908,0.491182329971645,0.508817670028355,0.227703220919908,0.115301995054531,0.304719199814147,0.243721099714538,0.108554484496876,67285,5.8,12095,"Orange County",0.111731754404027,0
"40","FL2014",0,0,0,0,1,"2014-12115",396445,0.477587054950876,0.522412945049124,0.149241382789542,0.0607524372863827,0.172911753206624,0.27639647365965,0.340697953057801,72327,5.8,12115,"Sarasota County",0.100765312548808,1
"41","FL2014",0,0,0,0,1,"2014-12005",178305,0.497013544207958,0.502986455792042,0.215753904826,0.0895039398782984,0.261456493087687,0.2733125823729,0.159973079835114,61335,6.3,12005,"Bay County",0.128502388468307,0
"42","FL2014",0,0,0,0,1,"2014-12101",483465,0.486711550991282,0.513288449008718,0.205266151634555,0.0728077523709059,0.229439566462929,0.270139513718677,0.222347015812934,58913,6.7,12101,"Pasco County",0.0906597765236509,1
"43","FL2014",0,0,0,0,1,"2014-12071",677361,0.489549885511566,0.510450114488434,0.185914158033899,0.0730422920717313,0.21343567167286,0.263010418373659,0.264597459847851,67710,6,12071,"Lee County",0.0986000267838879,0
"44","FL2014",0,0,0,0,1,"2014-12097",311137,0.491783362313065,0.508216637686935,0.252322931698898,0.0974458196871475,0.284340981625458,0.242957282483279,0.122932984505218,55682,6.7,12097,"Osceola County",0.10637920641112,0
"45","FL2014",0,0,0,0,1,"2014-12099",1399039,0.484218095421214,0.515781904578786,0.196212543038471,0.0797733301216049,0.233484556184638,0.262711046654168,0.227818524001118,80961,5.9,12099,"Palm Beach County",0.0465046397321333,1
"46","FL2014",0,0,0,0,1,"2014-12109",217865,0.487168659490969,0.512831340509031,0.220177632937828,0.0767355931425424,0.23018382943566,0.292130447754343,0.180772496729626,94434,4.7,12109,"St. Johns County",0.0780106369797953,0
"47","FL2014",0,0,0,0,1,"2014-12019",198572,0.492536712124569,0.507463287875431,0.243574119211168,0.0867493906492355,0.250886328384667,0.278735169107427,0.140054992647503,72966,5.8,12019,"Clay County",0.0850859367961641,1
"48","FL2014",0,0,0,0,1,"2014-12021",347326,0.492776239037676,0.507223760962324,0.183024017781565,0.0692548211190639,0.200894836551252,0.252500532640804,0.294325791907315,92954,6,12021,"Collier County",0.100350653856189,0
"49","FL2014",0,0,0,0,1,"2014-12031",896743,0.484545739414749,0.515454260585251,0.228906163750372,0.0978072870376462,0.286766665588692,0.259849254468672,0.126670629154618,65638,6.7,12031,"Duval County",0.100256433678141,1
"50","FL2014",0,0,0,0,1,"2014-12033",307951,0.49768632022627,0.50231367977373,0.209357982276401,0.12949462739202,0.248052449902744,0.257716324999756,0.155378615429078,59869,6.4,12033,"Escambia County",0.0965689067434068,0
"51","FL2014",0,0,0,0,1,"2014-12057",1317571,0.487541847839699,0.512458152160301,0.23183266784105,0.0971651622569106,0.283808614488327,0.255240894039107,0.131952661374605,70619,5.8,12057,"Hillsborough County",0.0934438858070133,0
"52","FL2014",0,0,0,0,1,"2014-12105",634520,0.490266658261363,0.509733341738637,0.226996784971317,0.088247809367711,0.240269810250268,0.24892201979449,0.195563575616214,56063,7.2,12105,"Polk County",0.0393925355872166,0
"53","FL2014",0,0,0,0,1,"2014-12103",936517,0.480017981520891,0.519982018479109,0.170712330902696,0.0726297547188145,0.225810102753073,0.301194746064407,0.22965306556101,64834,5.8,12103,"Pinellas County",0.076751043067995,0
"54","FL2015",0,0,0,0,1,"2015-12099",1424685,0.484625022373367,0.515374977626633,0.194967308562946,0.0781723679269452,0.233917673029477,0.263165541856621,0.229777108624012,82436,5.1,12099,"Palm Beach County",0.0983982867452588,0
"55","FL2015",0,0,0,0,1,"2015-12021",356107,0.49336294989989,0.50663705010011,0.180013310606082,0.0682210683867489,0.197875919316385,0.252775149042282,0.301114552648502,95419,5.3,12021,"Collier County",0.117546633828242,0
"56","FL2015",0,0,0,0,1,"2015-12009",565992,0.488789594199211,0.511210405800789,0.18672702087662,0.0762024904945653,0.210679656249558,0.298626128991222,0.227764703388034,65150,6,12009,"Brevard County",0.0739322076861331,0
"57","FL2015",0,0,0,0,1,"2015-12069",325091,0.484150591680483,0.515849408319517,0.197849217603686,0.0685223522029216,0.213220298316471,0.259145900686269,0.261262231190651,60590,5.5,12069,"Lake County",0.0368239355581128,1
"58","FL2015",0,0,0,0,1,"2015-12071",699530,0.489610166826298,0.510389833173702,0.183486054922591,0.0712278243963804,0.21295155318571,0.261641387788944,0.270693179706374,68651,5.2,12071,"Lee County",0.121085725844822,0
"59","FL2015",0,0,0,0,1,"2015-12019",202386,0.492840413862619,0.507159586137381,0.240876345201743,0.0846698882333758,0.250886919055666,0.279317739369324,0.144249108139891,72639,5.1,12019,"Clay County",0.1863046473204,0
"60","FL2015",0,0,0,0,1,"2015-12057",1348848,0.487965285932885,0.512034714067115,0.23059455179531,0.0941432985777493,0.285390941010403,0.255142165759226,0.134729042857312,71190,5.1,12057,"Hillsborough County",0.0933990585967903,1
"61","FL2015",0,0,0,0,1,"2015-12005",181387,0.498078693621924,0.501921306378076,0.216481886794533,0.0867923280058659,0.263701367793723,0.270791181286421,0.162233236119457,62232,5.5,12005,"Bay County",0.104605389930355,1
"62","FL2015",0,0,0,0,1,"2015-12109",226464,0.48796718242193,0.51203281757807,0.219959905327116,0.073896954924403,0.230398650558146,0.289904797230465,0.18583969195987,96113,4,12109,"St. Johns County",0.0661842569714084,1
"63","FL2015",0,0,0,0,1,"2015-12031",910584,0.485176546040783,0.514823453959217,0.227659392214227,0.0950060620436994,0.28855986927071,0.258705402247349,0.130069274224014,66270,5.8,12031,"Duval County",0.136909781930099,0
"64","FL2015",0,0,0,0,1,"2015-12011",1885443,0.486778438807219,0.513221561192781,0.215510094975027,0.0833103944271983,0.268422328333447,0.277121610146793,0.155635572117534,73358,5.1,12011,"Broward County",0.0537854120252581,1
"65","FL2015",0,0,0,0,1,"2015-12033",309332,0.497316798779305,0.502683201220695,0.209192712037552,0.125247307100462,0.250436424294932,0.256510803925879,0.158612752641175,59988,5.6,12033,"Escambia County",0.151123944142018,0
"66","FL2015",0,0,0,0,1,"2015-12086",2688156,0.485724042801087,0.514275957198913,0.205132068228183,0.0897421875813755,0.284772535522492,0.267492660396197,0.152860548271752,67497,5.8,12086,"Miami-Dade County",0.050127788729565,0
"67","FL2015",0,0,0,0,1,"2015-12101",494919,0.486627104637325,0.513372895362675,0.205284096993649,0.0716076772158677,0.229437544325435,0.269775458206292,0.223895223258755,59938,5.9,12101,"Pasco County",0.0923863597565017,0
"68","FL2015",0,0,0,0,1,"2015-12103",947535,0.480023429213697,0.519976570786303,0.168544697557346,0.0706506883650736,0.226980533700602,0.29992665178595,0.233897428591028,66039,5,12103,"Pinellas County",0.0684335147347886,1
