Buyer_County,Buyer_State,Year,Total_dosage_unit,FIPS,FIPS_year,Prescription_rate,Population,Avgdosage,Prescription_trend,Distributor_dosage,Overdose_death,percent_male,unmployment_rate,mean_income
Buena Vista City,VA,2009,300850,51530,2009-51530,82,6285,47.86793954,1,NA,NA,NA,6.4,NA
Buena Vista City,VA,2010,311400,51530,2010-51530,86.6,6653,46.8059522,1,NA,NA,NA,9.9,NA
Buena Vista City,VA,2011,345230,51530,2011-51530,85.7,6647,51.93771626,1,NA,NA,NA,9.1,NA
Buena Vista City,VA,2012,351890,51530,2012-51530,86.3,6679,52.68603084,1,NA,NA,NA,7.9,NA
Butler,OH,2006,14431280,39017,2006-39017,95.1,356691,40.45877244,1,NA,31,0.488929328,5.1,53278
Butler,OH,2007,16388890,39017,2007-39017,99.7,361192,45.37445458,1,NA,29,0.489988488,5.9,52955
Butler,OH,2008,17472210,39017,2008-39017,101.7,364179,47.97698385,1,NA,36,0.489745402,7,52297
Butler,OH,2009,19519540,39017,2009-39017,104.7,356878,54.69527402,0,NA,42,0.49170393,11.9,53421
Butler,OH,2010,25913960,39017,2010-39017,108.2,363465,71.29698871,0,NA,40,0.491937715,10,54541
Butler,OH,2011,30810910,39017,2011-39017,106.8,366167,84.14442044,0,NA,50,0.490163487,9.1,53138
Butler,OH,2012,33268120,39017,2012-39017,103.1,368029,90.39537645,0,NA,23,0.490254703,7.7,55687
Cabell,WV,2006,7709000,54011,2006-54011,175.3,94943,81.19608607,0,NA,21,0.478893338,6.9,34943
Cabell,WV,2007,8984920,54011,2007-54011,194.7,95059,94.51940374,0,NA,37,0.485032033,7,31592
Cabell,WV,2008,9641290,54011,2008-54011,209.5,95209,101.2644813,0,NA,27,0.482431761,6.3,32008
Cabell,WV,2009,10420370,54011,2009-54011,205.3,94552,110.2078222,0,NA,NA,0.486199508,11.2,34684
Cabell,WV,2010,9923700,54011,2010-54011,194.3,95526,103.8848062,0,NA,27,0.490682521,7.2,36153
Cabell,WV,2011,9841420,54011,2011-54011,186.6,95870,102.653802,0,NA,39,0.484051193,7.1,37279
Cabell,WV,2012,8692270,54011,2012-54011,167.5,96240,90.31868246,0,NA,22,0.487677109,6.5,35567
Calhoun,FL,2006,390520,12013,2006-12013,77.1,13997,27.90026434,1,NA,NA,NA,3.8,NA
Calhoun,FL,2007,466040,12013,2007-12013,80.6,14222,32.76894951,1,NA,NA,NA,5.1,NA
Calhoun,FL,2008,484850,12013,2008-12013,78.5,14351,33.78510208,1,NA,NA,NA,8.3,NA
Calhoun,FL,2009,565040,12013,2009-12013,80.6,13525,41.77744917,1,NA,NA,NA,12.1,NA
Calhoun,FL,2010,608750,12013,2010-12013,83.1,14372,42.35666574,1,NA,NA,NA,10.1,NA
