,State,Year,1_Include the treatment of pain?,3_max_amount_prescription,3_1_max_amount_prescriptions_det,4_prescrib_duration,4_1_prescrib_duration_det,5_unprof_excessive_Rx,5_1_excess_Rx_factors,8_pracitioner_education,9_hc_facility_methods,10_integrative_care,11_individual_care,14_risk_benefit_before,16_PMPdata_submit,16_1_PMPdata_timeframe,17_data_other state PMP,18_PMP_pract_registration,19_prac_checkPMP,20_PMP_teach,21PMP_eval_outcomes,key2,Population,percent_male,percent_female,under_18,18-24,25-44,45-64,over_65,Mean_income,Unemployment_rate,County,FIPS County Code,Prescribing Rate,outcome1_avg,outcome2_med,outcome3_medbyyear
34,CT,2017,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-9009,857794,0.482169379,0.517830621,0.203884616,0.100657034,0.249287125,0.276702798,0.169468427,88342,5.1,NEW HAVEN,9009,54.2,1,1,1
35,CT,2017,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-9001,943457,0.48695383,0.51304617,0.227056453,0.091657595,0.237887895,0.288383042,0.155015014,146085,4.6,FAIRFIELD,9001,37.2,1,1,0
36,CT,2017,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-9003,892931,0.485947962,0.514052038,0.211462028,0.090996953,0.253282728,0.276553284,0.167705007,94643,4.9,HARTFORD,9003,48.9,1,1,0
37,CT,2017,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-9013,150933,0.500281582,0.499718418,0.175667349,0.190170473,0.207403285,0.273207317,0.153551576,101772,4,TOLLAND,9013,41.3,1,1,0
38,CT,2017,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-9011,267826,0.501108929,0.498891071,0.196258018,0.101786234,0.239323292,0.285745223,0.176887233,90563,4.5,NEW LONDON,9011,55,1,1,1
39,CT,2017,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-9007,162855,0.487114304,0.512885696,0.180909398,0.088109054,0.220650272,0.313610267,0.196721009,105460,4.1,MIDDLESEX,9007,54.5,1,1,1
40,CT,2017,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-9015,116374,0.495694915,0.504305085,0.199262722,0.098338117,0.245656246,0.29486827,0.161874646,75748,5.1,WINDHAM,9015,61,1,1,1
41,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12035,99816,0.480764607,0.519235393,0.186372926,0.067143544,0.193996954,0.279674601,0.272811974,62177,8.4,Flagler,12035,83.4,1,1,1
42,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12065,14207,0.521433096,0.478566904,0.17702541,0.072851411,0.238122053,0.316041388,0.195959738,56670,7.8,Jefferson,12065,60.5,0,0,0
43,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12067,8822,0.597483564,0.402516436,0.207435956,0.114259805,0.301745636,0.24030832,0.136250283,56160,5.2,Lafayette,12067,65.9,0,0,0
44,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12063,48878,0.551413724,0.448586276,0.188162363,0.091943206,0.269712345,0.276156962,0.174025124,47623,7.5,Jackson,12063,122.9,0,0,0
45,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12059,19595,0.532125542,0.467874458,0.20357234,0.093646338,0.242970145,0.275376372,0.184434805,45505,7.9,Holmes,12059,109.5,0,0,0
46,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12129,30999,0.553824317,0.446175683,0.210200329,0.078744476,0.293396561,0.288428659,0.129229975,61632,6,Wakulla,12129,94.2,1,0,1
47,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12061,141913,0.480167427,0.519832573,0.179729834,0.067752778,0.185049995,0.27465419,0.292813202,70719,9.6,Indian River,12061,99.8,0,0,0
48,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12029,16083,0.538643288,0.461356712,0.189392526,0.071193185,0.220481253,0.298576136,0.220356899,41341,8.5,Dixie,12029,43.9,0,0,0
49,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12103,928488,0.480113906,0.519886094,0.172145467,0.074054807,0.225498876,0.302689965,0.225610886,64120,6.6,Pinellas,12103,90.9,1,0,1
50,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12125,15162,0.647605857,0.352394143,0.190344282,0.090819153,0.289605593,0.304775096,0.124455877,49840,6.3,Union,12125,69.2,0,0,0
51,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12037,11521,0.571738564,0.428261436,0.167433383,0.076816249,0.279576426,0.280444406,0.195729537,52360,5.5,Franklin,12037,110.3,0,0,0
52,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12039,46090,0.476046865,0.523953135,0.226947277,0.088413973,0.25222391,0.283250163,0.149164678,46489,9.2,Gadsden,12039,65,0,0,0
